Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-4454-80-6,127.0.0.1,4454,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866311,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131780508394261,1.0266615857142858E7,2.557332791846518E7,6.8216246E7,5.0,7.1866311E7,1.0266615857142858E7,2.557332791846518E7,6.8216246E7,5.0,0,0,0,0,0,0,0,0,0,160,0,0.11131780508394261,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438295068E15,2.863551726729026E7,1.776713902198272E15,1.776713830331987E15,NeedManualLabel
127.0.0.1-127.0.0.1-4455-80-6,127.0.0.1,4455,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866308,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131780973081294,1.026661542857143E7,2.5573329417290967E7,6.8216249E7,5.0,7.1866308E7,1.026661542857143E7,2.5573329417290967E7,6.8216249E7,5.0,0,0,0,0,0,0,0,0,0,160,0,0.11131780973081294,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438295245E15,2.8635518221836843E7,1.776713902198292E15,1.776713830332008E15,NeedManualLabel
127.0.0.1-127.0.0.1-4456-80-6,127.0.0.1,4456,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866304,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131781592664067,1.0266614857142858E7,2.557332921664397E7,6.8216248E7,6.0,7.1866304E7,1.0266614857142858E7,2.557332921664397E7,6.8216248E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131781592664067,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438295425E15,2.8635517293876734E7,1.776713902198308E15,1.776713830332029E15,NeedManualLabel
127.0.0.1-127.0.0.1-4457-80-6,127.0.0.1,4457,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866303,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1113178174755977,1.0266614714285715E7,2.5573329710353404E7,6.8216249E7,6.0,7.1866303E7,1.0266614714285715E7,2.5573329710353404E7,6.8216249E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.1113178174755977,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438295602E15,2.863551734651336E7,1.776713902198326E15,1.776713830332049E15,NeedManualLabel
127.0.0.1-127.0.0.1-4458-80-6,127.0.0.1,4458,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866299,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1113178236714263,1.0266614142857144E7,2.557333038693029E7,6.821625E7,6.0,7.1866299E7,1.0266614142857144E7,2.557333038693029E7,6.821625E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.1113178236714263,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.776713843829578E15,2.8635517259983987E7,1.776713902198344E15,1.77671383033207E15,NeedManualLabel
127.0.0.1-127.0.0.1-4459-80-6,127.0.0.1,4459,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866296,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131782831829819,1.0266613714285715E7,2.5573330581814658E7,6.821625E7,6.0,7.1866296E7,1.0266613714285715E7,2.5573330581814658E7,6.821625E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131782831829819,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438295962E15,2.8635517155916356E7,1.776713902198362E15,1.776713830332091E15,NeedManualLabel
127.0.0.1-127.0.0.1-4460-80-6,127.0.0.1,4460,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866294,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131783141621301,1.026661342857143E7,2.5573330691928126E7,6.821625E7,6.0,7.1866294E7,1.026661342857143E7,2.5573330691928126E7,6.821625E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131783141621301,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.776713843829614E15,2.8635516808290664E7,1.776713902198379E15,1.776713830332112E15,NeedManualLabel
127.0.0.1-127.0.0.1-4461-80-6,127.0.0.1,4461,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866290,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131783761204313,1.0266612857142858E7,2.5573330947795913E7,6.821625E7,6.0,7.186629E7,1.0266612857142858E7,2.5573330947795913E7,6.821625E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131783761204313,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.776713843829632E15,2.8635516750254985E7,1.776713902198397E15,1.776713830332134E15,NeedManualLabel
127.0.0.1-127.0.0.1-4462-80-6,127.0.0.1,4462,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866287,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131784225891621,1.026661242857143E7,2.5573331575324845E7,6.8216251E7,6.0,7.1866287E7,1.026661242857143E7,2.5573331575324845E7,6.8216251E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131784225891621,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438296498E15,2.8635516786922466E7,1.776713902198415E15,1.776713830332154E15,NeedManualLabel
127.0.0.1-127.0.0.1-4463-80-6,127.0.0.1,4463,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866284,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131784690578966,1.0266611999999998E7,2.5573332184992418E7,6.8216252E7,6.0,7.1866284E7,1.0266611999999998E7,2.5573332184992418E7,6.8216252E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131784690578966,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.776713843829668E15,2.863551664880994E7,1.776713902198433E15,1.776713830332175E15,NeedManualLabel
127.0.0.1-127.0.0.1-4464-80-6,127.0.0.1,4464,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866281,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131785155266348,1.026661157142857E7,2.5573332806595117E7,6.8216253E7,6.0,7.1866281E7,1.026661157142857E7,2.5573332806595117E7,6.8216253E7,6.0,0,0,0,0,0,0,0,0,0,160,0,0.11131785155266348,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438296858E15,2.863551667912647E7,1.776713902198451E15,1.776713830332196E15,NeedManualLabel
127.0.0.1-127.0.0.1-4465-80-6,127.0.0.1,4465,127.0.0.1,80,6,20/04/2026 07:37:10 PM,71866278,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11131785619953771,1.0266611142857144E7,2.5573333019341458E7,6.8216253E7,5.0,7.1866278E7,1.0266611142857144E7,2.5573333019341458E7,6.8216253E7,5.0,0,0,0,0,0,0,0,0,0,160,0,0.11131785619953771,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.7767138438297035E15,2.8635516770313255E7,1.776713902198469E15,1.776713830332216E15,NeedManualLabel
